iter	MultiClass
0	1.064742343
1	1.034301121
2	1.006177569
3	0.9919917545
4	0.9732654866
5	0.9557946973
6	0.9382421631
7	0.9225165087
8	0.9056588249
9	0.8927254822
10	0.8849577179
11	0.8727350323
12	0.8627513227
13	0.8536115683
14	0.8503420758
15	0.8450577838
16	0.8321904107
17	0.8267285308
18	0.8184218078
19	0.8151803332
20	0.8064820646
21	0.7979536121
22	0.7895113065
23	0.7845306628
24	0.7764709332
25	0.7734714075
26	0.7679376632
27	0.7615850578
28	0.7562860077
29	0.7522916485
30	0.7477272029
31	0.7430854289
32	0.740665023
33	0.7337431277
34	0.7316124381
35	0.7264321427
36	0.7221156626
37	0.7196188734
38	0.715551962
39	0.7112351505
40	0.7102443245
41	0.7048370786
42	0.7012207647
43	0.6962253303
44	0.6927106968
45	0.6908160458
46	0.687885266
47	0.684650548
48	0.6795174422
49	0.6748890305
50	0.6724673033
51	0.6702108263
52	0.668258057
53	0.6646639645
54	0.6584948594
55	0.6563174323
56	0.6503052191
57	0.6464804396
58	0.6423195145
59	0.6391410301
60	0.6373234003
61	0.6333560495
62	0.6309483651
63	0.6274259858
64	0.6244625987
65	0.6215903871
66	0.620263693
67	0.619512418
68	0.6178350862
69	0.6144099103
70	0.6089158463
71	0.6064195807
72	0.604248267
73	0.6015941474
74	0.597200823
75	0.5948684377
76	0.5925909998
77	0.5913283786
78	0.589245677
79	0.5869443148
80	0.5845340156
81	0.579147545
82	0.5766279669
83	0.5737565219
84	0.5719437531
85	0.5673111104
86	0.5631840116
87	0.560540686
88	0.5558438601
89	0.5527382456
90	0.5496243581
91	0.5455453224
92	0.5412137218
93	0.5385363762
94	0.5335083366
95	0.5281467724
96	0.5250972759
97	0.5215484671
98	0.5173802508
99	0.5158951031
100	0.5108722745
101	0.5094739165
102	0.5071431693
103	0.5048069582
104	0.5006251189
105	0.4975561215
106	0.4953271364
107	0.4933756783
108	0.4895712803
109	0.4872008821
110	0.4855070298
111	0.4836617546
112	0.4797912582
113	0.4777967929
114	0.4753058245
115	0.4717874377
116	0.4692749899
117	0.4657410878
118	0.4628223939
119	0.4573947234
120	0.4549262324
121	0.4512433012
122	0.4467640696
123	0.445626961
124	0.443896402
125	0.4409181372
126	0.4390514923
127	0.4369450008
128	0.4349705823
129	0.4318500608
130	0.4295513645
131	0.4282919407
132	0.4265331748
133	0.4248232691
134	0.4223099911
135	0.4204945782
136	0.4185607831
137	0.4172515127
138	0.4157849455
139	0.4143685468
140	0.4131163082
141	0.4118529381
142	0.4111764594
143	0.4091565515
144	0.4066416316
145	0.4055453579
146	0.4028045238
147	0.4010350885
148	0.3993301374
149	0.3970931494
