iter	Passed	Remaining
0	144	144366
1	155	77704
2	167	55607
3	178	44550
4	190	37911
5	201	33330
6	213	30279
7	225	28022
8	238	26259
9	249	24718
10	262	23597
11	274	22635
12	287	21794
13	301	21201
14	312	20513
15	324	19964
16	338	19584
17	350	19138
18	363	18763
19	375	18419
20	388	18103
21	401	17833
22	412	17540
23	424	17274
24	437	17055
25	450	16870
26	463	16698
27	477	16560
28	489	16398
29	504	16309
30	516	16159
31	528	15993
32	543	15938
33	557	15828
34	570	15720
35	582	15596
36	594	15476
37	606	15357
38	619	15262
39	631	15157
40	635	14865
41	648	14784
42	659	14684
43	672	14604
44	684	14526
45	695	14418
46	706	14324
47	718	14252
48	730	14178
49	742	14106
50	755	14054
51	768	14003
52	782	13983
53	794	13920
54	807	13866
55	819	13814
56	832	13767
57	843	13704
58	856	13657
59	870	13636
60	882	13589
61	894	13532
62	906	13486
63	919	13441
64	931	13403
65	943	13350
66	955	13305
67	969	13283
68	981	13239
69	992	13189
70	1004	13148
71	1017	13115
72	1031	13103
73	1043	13062
74	1058	13059
75	1074	13067
76	1088	13050
77	1102	13034
78	1116	13011
79	1131	13011
80	1144	12990
81	1159	12978
82	1173	12962
83	1188	12957
84	1202	12949
85	1218	12947
86	1234	12955
87	1258	13041
88	1289	13202
89	1309	13236
90	1324	13227
91	1336	13188
92	1348	13151
93	1361	13120
94	1373	13084
95	1386	13055
96	1398	13022
97	1411	12988
98	1423	12956
99	1435	12922
100	1448	12894
101	1461	12865
102	1473	12830
103	1485	12795
104	1498	12771
105	1510	12741
106	1525	12732
107	1537	12699
108	1549	12666
109	1562	12638
110	1574	12611
111	1586	12582
112	1599	12559
113	1612	12533
114	1624	12505
115	1637	12476
116	1649	12447
117	1662	12422
118	1674	12398
119	1686	12367
120	1698	12342
121	1711	12320
122	1724	12296
123	1736	12270
124	1749	12248
125	1761	12221
126	1777	12216
127	1790	12194
128	1802	12167
129	1814	12144
130	1826	12118
131	1839	12094
132	1851	12067
133	1863	12041
134	1875	12018
135	1888	11995
136	1900	11969
137	1912	11943
138	1925	11925
139	1937	11904
140	1949	11877
141	1961	11853
142	1974	11831
143	1986	11809
144	1998	11783
145	2010	11760
146	2025	11751
147	2037	11730
148	2050	11711
149	2062	11688
150	2074	11665
151	2087	11643
152	2098	11619
153	2111	11597
154	2123	11576
155	2136	11560
156	2149	11539
157	2162	11521
158	2174	11501
159	2186	11478
160	2199	11462
161	2211	11439
162	2224	11423
163	2237	11406
164	2249	11385
165	2265	11379
166	2277	11357
167	2289	11336
168	2301	11317
169	2313	11295
170	2325	11273
171	2337	11253
172	2350	11235
173	2362	11215
174	2375	11197
175	2387	11177
176	2400	11160
177	2412	11138
178	2424	11118
179	2436	11100
180	2449	11083
181	2461	11064
182	2474	11046
183	2486	11026
184	2498	11007
185	2519	11024
186	2532	11009
187	2544	10991
188	2557	10975
189	2570	10956
190	2582	10938
191	2594	10916
192	2605	10895
193	2617	10875
194	2630	10857
195	2641	10836
196	2653	10816
197	2666	10799
198	2678	10781
199	2690	10760
200	2701	10739
201	2713	10719
202	2725	10698
203	2736	10679
204	2748	10660
205	2763	10651
206	2775	10631
207	2786	10611
208	2798	10592
209	2810	10574
210	2822	10554
211	2834	10537
212	2847	10520
213	2859	10503
214	2871	10484
215	2884	10469
216	2895	10449
217	2907	10429
218	2920	10414
219	2933	10402
220	2947	10390
221	2962	10382
222	2976	10371
223	2990	10360
224	3007	10358
225	3021	10348
226	3037	10342
227	3052	10334
228	3067	10328
229	3080	10313
230	3094	10302
231	3107	10287
232	3120	10271
233	3132	10255
234	3144	10237
235	3157	10222
236	3171	10208
237	3183	10192
238	3195	10174
239	3208	10160
240	3221	10144
241	3233	10127
242	3244	10107
243	3260	10100
244	3272	10085
245	3285	10069
246	3297	10051
247	3308	10033
248	3321	10017
249	3335	10005
250	3350	9998
251	3366	9991
252	3380	9982
253	3394	9969
254	3409	9961
255	3424	9953
256	3439	9943
257	3453	9932
258	3467	9920
259	3480	9906
260	3493	9890
261	3508	9882
262	3521	9867
263	3534	9853
264	3547	9838
265	3559	9821
266	3571	9804
267	3583	9788
268	3597	9775
269	3608	9756
270	3620	9740
271	3633	9724
272	3645	9707
273	3657	9690
274	3669	9674
275	3681	9657
276	3694	9642
277	3706	9627
278	3720	9614
279	3734	9601
280	3754	9606
281	3767	9592
282	3780	9579
283	3793	9564
284	3805	9548
285	3818	9533
286	3831	9519
287	3845	9505
288	3859	9495
289	3873	9483
290	3885	9467
291	3899	9455
292	3912	9441
293	3925	9427
294	3938	9411
295	3951	9397
296	3963	9382
297	3976	9367
298	3993	9362
299	4007	9349
300	4020	9335
301	4033	9323
302	4047	9310
303	4060	9296
304	4074	9284
305	4086	9267
306	4099	9253
307	4112	9239
308	4126	9227
309	4138	9212
310	4151	9196
311	4163	9182
312	4177	9168
313	4190	9155
314	4202	9138
315	4214	9123
316	4227	9108
317	4239	9091
318	4251	9076
319	4264	9061
320	4276	9045
321	4288	9029
322	4301	9015
323	4314	9001
324	4327	8987
325	4339	8971
326	4351	8956
327	4364	8942
328	4377	8927
329	4389	8911
330	4402	8897
331	4414	8882
332	4427	8868
333	4440	8853
334	4452	8838
335	4465	8824
336	4481	8817
337	4495	8803
338	4506	8787
339	4520	8774
340	4533	8762
341	4548	8750
342	4560	8735
343	4575	8726
344	4587	8709
345	4602	8699
346	4616	8688
347	4631	8676
348	4644	8664
349	4660	8655
350	4673	8640
351	4685	8626
352	4698	8611
353	4712	8598
354	4729	8592
355	4742	8578
356	4755	8564
357	4768	8550
358	4781	8537
359	4794	8523
360	4807	8509
361	4821	8496
362	4836	8486
363	4854	8482
364	4873	8477
365	4892	8475
366	4910	8468
367	4927	8461
368	4942	8452
369	4958	8442
370	4977	8439
371	4992	8428
372	5007	8417
373	5022	8407
374	5037	8396
375	5050	8382
376	5065	8370
377	5080	8359
378	5097	8352
379	5112	8340
380	5127	8330
381	5144	8322
382	5158	8310
383	5172	8296
384	5185	8283
385	5199	8270
386	5225	8276
387	5250	8281
388	5263	8267
389	5276	8252
390	5288	8236
391	5301	8222
392	5313	8206
393	5326	8191
394	5339	8178
395	5352	8163
396	5364	8147
397	5377	8133
398	5389	8118
399	5402	8103
400	5414	8087
401	5426	8072
402	5439	8057
403	5452	8043
404	5465	8029
405	5478	8014
406	5490	8000
407	5505	7988
408	5519	7975
409	5532	7960
410	5544	7945
411	5557	7931
412	5569	7916
413	5583	7903
414	5596	7888
415	5608	7873
416	5622	7860
417	5636	7847
418	5649	7834
419	5662	7819
420	5675	7804
421	5689	7792
422	5702	7778
423	5715	7764
424	5728	7750
425	5741	7736
426	5757	7726
427	5771	7712
428	5784	7699
429	5798	7686
430	5811	7672
431	5825	7659
432	5838	7645
433	5852	7632
434	5868	7621
435	5882	7609
436	5897	7598
437	5909	7582
438	5922	7568
439	5936	7555
440	5949	7541
441	5963	7528
442	5975	7512
443	5988	7499
444	6007	7492
445	6021	7479
446	6034	7465
447	6047	7451
448	6061	7438
449	6073	7423
450	6086	7409
451	6100	7395
452	6113	7381
453	6127	7369
454	6140	7354
455	6152	7340
456	6165	7325
457	6178	7311
458	6192	7298
459	6206	7286
460	6219	7272
461	6232	7257
462	6248	7247
463	6261	7233
464	6275	7219
465	6287	7204
466	6301	7191
467	6314	7178
468	6327	7164
469	6341	7150
470	6353	7135
471	6367	7123
472	6382	7110
473	6396	7098
474	6409	7084
475	6422	7070
476	6435	7056
477	6448	7042
478	6461	7028
479	6475	7015
480	6488	7001
481	6500	6986
482	6522	6981
483	6535	6967
484	6548	6953
485	6561	6939
486	6574	6925
487	6588	6912
488	6600	6897
489	6612	6882
490	6625	6868
491	6637	6853
492	6649	6838
493	6663	6825
494	6676	6811
495	6689	6797
496	6702	6783
497	6715	6769
498	6727	6754
499	6740	6740
500	6755	6728
501	6768	6714
502	6780	6699
503	6793	6686
504	6806	6672
505	6819	6657
506	6831	6643
507	6844	6628
508	6856	6614
509	6869	6600
510	6882	6586
511	6894	6571
512	6907	6557
513	6921	6544
514	6934	6530
515	6946	6515
516	6958	6500
517	6971	6486
518	6983	6472
519	6996	6458
520	7011	6446
521	7024	6432
522	7036	6417
523	7049	6403
524	7061	6389
525	7074	6374
526	7086	6360
527	7099	6346
